Navn;Land;Rang;Position;Pris;Markedsværdi (EUR);Værdi-indeks;Popularitet;Ude af spil;Program R1-3;Runde 1;Runde 2;Runde 3;Runde 4;Runde 5;Runde 6;Runde 7;Runde 8
Kylian Mbappe;Frankrig;1;Angreb;10000000;180000000;18.0;0.10643343376855262;Nej;2.3;Senegal 16/6;Irak 22/6;Norge 26/6;;;;;
Harry Kane;England;2;Angreb;9500000;60000000;6.32;0.10547557936242234;Nej;2.0;Kroatien 17/6;Ghana 23/6;Panama 27/6;;;;;
Lamine Yamal;Spanien;3;Angreb;9000000;200000000;22.22;0.09793363835881412;Nej;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Erling Haaland;Norge;10;Angreb;8500000;200000000;23.53;0.22404493546107204;Nej;2.3;Irak 16/6;Senegal 23/6;Frankrig 26/6;;;;;
Lautaro Martinez;Argentina;8;Angreb;8000000;85000000;10.62;0.010378305992634751;Nej;1.7;Algeriet 17/6;Østrig 22/6;Jordan 28/6;;;;;
Lionel Messi;Argentina;8;Angreb;8000000;15000000;1.88;0.062390730201242424;Nej;1.7;Algeriet 17/6;Østrig 22/6;Jordan 28/6;;;;;
Florian Wirtz;Tyskland;4;Midtbane;7500000;100000000;13.33;0.1536100881598036;Nej;2.0;Curaçao 14/6;Elfenbenskysten 20/6;Ecuador 25/6;;;;;
Vinicius Junior;Brasilien;6;Angreb;7500000;140000000;18.67;0.03463155153814679;Nej;2.0;Marokko 13/6;Haiti 20/6;Skotland 24/6;;;;;
Mikel Oyarzabal;Spanien;3;Angreb;7500000;25000000;3.33;0.21673548339099058;Nej;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Bruno Fernandes;Portugal;5;Midtbane;7000000;35000000;5.0;0.18839973217274858;Nej;1.7;Congo DR 17/6;Usbekistan 23/6;Colombia 27/6;;;;;
Kevin De Bruyne;Belgien;9;Midtbane;7000000;8000000;1.14;0.017715656734739425;Nej;1.0;Egypten 15/6;Iran 21/6;New Zealand 27/6;;;;;
Michael Olise;Frankrig;1;Angreb;7000000;150000000;21.43;0.19233344492802143;Nej;2.3;Senegal 16/6;Irak 22/6;Norge 26/6;;;;;
Cristiano Ronaldo;Portugal;5;Angreb;7000000;10000000;1.43;0.08434698508351003;Nej;1.7;Congo DR 17/6;Usbekistan 23/6;Colombia 27/6;;;;;
Jamal Musiala;Tyskland;4;Midtbane;6500000;100000000;15.38;0.1417624521072797;Nej;2.0;Curaçao 14/6;Elfenbenskysten 20/6;Ecuador 25/6;;;;;
Jeremy Doku;Belgien;9;Angreb;6500000;75000000;11.54;0.022430532306662202;Nej;1.0;Egypten 15/6;Iran 21/6;New Zealand 27/6;;;;;
Bukayo Saka;England;2;Angreb;6500000;110000000;16.92;0.013065878064204143;Nej;2.0;Kroatien 17/6;Ghana 23/6;Panama 27/6;;;;;
Raphinha;Brasilien;6;Angreb;6500000;70000000;10.77;0.0703883495145631;Nej;2.0;Marokko 13/6;Haiti 20/6;Skotland 24/6;;;;;
Cody Gakpo;Holland;7;Angreb;6500000;60000000;9.23;0.015604657218316408;Nej;2.0;Japan 14/6;Sverige 20/6;Tunesien 25/6;;;;;
Tijjani Reijnders;Holland;7;Midtbane;6000000;50000000;8.33;0.005291448127069152;Nej;2.0;Japan 14/6;Sverige 20/6;Tunesien 25/6;;;;;
Pedri;Spanien;3;Midtbane;6000000;150000000;25.0;0.09207491723393967;Nej;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Jude Bellingham;England;2;Midtbane;6000000;130000000;21.67;0.03628687274485735;Nej;2.0;Kroatien 17/6;Ghana 23/6;Panama 27/6;;;;;
Charles De Ketelaere;Belgien;9;Angreb;6000000;30000000;5.0;0.00428709593423353;Nej;1.0;Egypten 15/6;Iran 21/6;New Zealand 27/6;;;;;
Darwin Nunez;Uruguay;19;Angreb;6000000;20000000;3.33;0.00658408659747796;Nej;1.7;Saudi-Arabien 15/6;Kap Verde 21/6;Spanien 27/6;;;;;
